C:\Users\juneli\Anaconda\envs\pytorch\python.exe "D:/1.Deep learning/GNN for drug synergy/GAECDDS_cell_negative.py"
Using backend: pytorch
cell_feature:  torch.Size([5693, 954])
node_feature:  torch.Size([197, 300])
D:/1.Deep learning/GNN for drug synergy/GAECDDS_cell_negative.py:73: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  pos_weight = torch.tensor((adj.shape[0] * adj.shape[0] - adj.sum()) / adj.sum())
D:/1.Deep learning/GNN for drug synergy/GAECDDS_cell_negative.py:76: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  adj = torch.tensor(adj)
tensor([0.8718, 0.8985, 0.9483,  ..., 0.9753, 0.9959, 1.0000],
       grad_fn=<SigmoidBackward>)
loss: 0.5098387002944946 accuracy: 0.9424618000979155
(2688, 128)
lenth 2688
pot 537
C:\Users\juneli\Anaconda\envs\pytorch\lib\site-packages\torch\nn\modules\conv.py:440: UserWarning: Using padding='same' with even kernel lengths and odd dilation may require a zero-padded copy of the input be created (Triggered internally at  ..\aten\src\ATen\native\Convolution.cpp:660.)
  self.padding, self.dilation, self.groups)
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  93 |loss:  0.5600796341896057 | accuracy_train:  0.5631067961165048 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  94 |loss:  0.6114363670349121 | accuracy_train:  0.5631067961165048 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  95 |loss:  0.5600293874740601 | accuracy_train:  0.5242718446601942 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  96 |loss:  0.5546074509620667 | accuracy_train:  0.4854368932038835 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  97 |loss:  0.60157710313797 | accuracy_train:  0.4854368932038835 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  98 |loss:  0.5698659420013428 | accuracy_train:  0.47572815533980584 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  99 |loss:  0.5776991844177246 | accuracy_train:  0.47572815533980584 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  100 |loss:  0.5676543712615967 | accuracy_train:  0.5048543689320388 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  101 |loss:  0.5534981489181519 | accuracy_train:  0.5048543689320388 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  102 |loss:  0.5838466882705688 | accuracy_train:  0.5048543689320388 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  103 |loss:  0.5654507875442505 | accuracy_train:  0.4563106796116505 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  104 |loss:  0.5318744778633118 | accuracy_train:  0.4563106796116505 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  105 |loss:  0.594368577003479 | accuracy_train:  0.49514563106796117 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  106 |loss:  0.5946723222732544 | accuracy_train:  0.5242718446601942 | accuracy_test:  0.5065176908752328
