C:\Users\juneli\Anaconda\envs\pytorch\python.exe "D:/1.Deep learning/GNN for drug synergy/GAE_MLP.py"
Using backend: pytorch
cell_feature:  torch.Size([5693, 954])
node_feature:  torch.Size([197, 300])
D:/1.Deep learning/GNN for drug synergy/GAE_MLP.py:72: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  pos_weight = torch.tensor((adj.shape[0] * adj.shape[0] - adj.sum()) / adj.sum())
D:/1.Deep learning/GNN for drug synergy/GAE_MLP.py:75: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  adj = torch.tensor(adj)
tensor([0.9499, 0.9660, 0.9875,  ..., 0.9915, 0.9993, 1.0000],
       grad_fn=<SigmoidBackward>)
loss: 0.5053110718727112 accuracy: 0.97219717075936
lenth 5693
pot 1138
Epoch GAE :  0 | cross validation:  0 | Epoch:  84 |loss:  0.2204010784626007 | accuracy_train:  0.8 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  85 |loss:  0.24168047308921814 | accuracy_train:  0.7866666666666666 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  86 |loss:  0.18433164060115814 | accuracy_train:  0.8266666666666667 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  87 |loss:  0.24370092153549194 | accuracy_train:  0.7733333333333333 | accuracy_test:  0.7627416520210897
Epoch GAE :  0 | cross validation:  0 | Epoch:  88 |loss:  0.1877821534872055 | accuracy_train:  0.8133333333333334 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  89 |loss:  0.2288154661655426 | accuracy_train:  0.7333333333333333 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  90 |loss:  0.19624994695186615 | accuracy_train:  0.7466666666666667 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  91 |loss:  0.13722945749759674 | accuracy_train:  0.8533333333333334 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  92 |loss:  0.2392590343952179 | accuracy_train:  0.7866666666666666 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  93 |loss:  0.2511397898197174 | accuracy_train:  0.76 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  94 |loss:  0.16056840121746063 | accuracy_train:  0.8266666666666667 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  95 |loss:  0.2601216435432434 | accuracy_train:  0.8533333333333334 | accuracy_test:  0.7627416520210897
Epoch GAE :  0 | cross validation:  0 | Epoch:  96 |loss:  0.15822425484657288 | accuracy_train:  0.8266666666666667 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  97 |loss:  0.23220083117485046 | accuracy_train:  0.7466666666666667 | accuracy_test:  0.7627416520210897
Epoch GAE :  0 | cross validation:  0 | Epoch:  98 |loss:  0.13441787660121918 | accuracy_train:  0.8266666666666667 | accuracy_test:  0.7627416520210897
Epoch GAE :  0 | cross validation:  0 | Epoch:  99 |loss:  0.20950642228126526 | accuracy_train:  0.7333333333333333 | accuracy_test:  0.7627416520210897
Epoch GAE :  0 | cross validation:  0 | Epoch:  100 |loss:  0.19529864192008972 | accuracy_train:  0.8 | accuracy_test:  0.7627416520210897
Epoch GAE :  0 | cross validation:  0 | Epoch:  101 |loss:  0.1729574203491211 | accuracy_train:  0.76 | accuracy_test:  0.7636203866432337
Epoch GAE :  0 | cross validation:  0 | Epoch:  102 |loss:  0.14772801101207733 | accuracy_train:  0.8533333333333334 | accuracy_test:  0.7627416520210897
Epoch GAE :  0 | cross validation:  0 | Epoch:  103 |loss:  0.12439712882041931 | accuracy_train:  0.8666666666666667 | accuracy_test:  0.7636203866432337
Epoch GAE :  0 | cross validation:  0 | Epoch:  104 |loss:  0.2017170935869217 | accuracy_train:  0.8 | accuracy_test:  0.7636203866432337
Epoch GAE :  0 | cross validation:  0 | Epoch:  105 |loss:  0.17075146734714508 | accuracy_train:  0.7466666666666667 | accuracy_test:  0.7636203866432337
Epoch GAE :  0 | cross validation:  0 | Epoch:  106 |loss:  0.12880125641822815 | accuracy_train:  0.7333333333333333 | accuracy_test:  0.7636203866432337
Epoch GAE :  0 | cross validation:  0 | Epoch:  107 |loss:  0.19447214901447296 | accuracy_train:  0.7066666666666667 | accuracy_test:  0.7636203866432337
Epoch GAE :  0 | cross validation:  0 | Epoch:  108 |loss:  0.17146815359592438 | accuracy_train:  0.7466666666666667 | accuracy_test:  0.7636203866432337
Epoch GAE :  0 | cross validation:  0 | Epoch:  109 |loss:  0.17861443758010864 | accuracy_train:  0.72 | accuracy_test:  0.7636203866432337
Epoch GAE :  0 | cross validation:  0 | Epoch:  110 |loss:  0.17032071948051453 | accuracy_train:  0.8 | accuracy_test:  0.7636203866432337
